20181930-20:19:13:125424625 $GPGSV,2,1,07,02,,,25,04,,,37,05,,,35,12,,,24*7E
20181930-20:19:13:130140615 $GPGSV,2,2,07,13,,,07,20,,,15,29,,,39*7C
20181930-20:19:13:415454365 $GLGSV,1,1,04,,,,29,,,,40,,,,38,,,,38*6E
20181930-20:19:13:420184209 $GNGLL,,,,,034134.00,V,N*55
20181930-20:19:13:424892906 $GNZDA,034134.00,,,,00,00*79
20181930-20:19:13:906549052 $GNRMC,034135.00,V,,,,,,,,,,N*63
20181930-20:19:13:911135198 $GNVTG,,,,,,,,,N*2E
20181930-20:19:13:916100042 $GNGGA,034135.00,,,,,0,00,99.99,,,,,,*78
20181930-20:19:14:010682385 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:016991344 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:115046448 $GPGSV,2,1,07,02,,,26,04,,,38,05,,,36,12,,,24*71
20181930-20:19:14:120303427 $GPGSV,2,2,07,13,,,08,20,,,18,29,,,40*70
20181930-20:19:14:405353948 $GLGSV,1,1,04,,,,29,,,,40,,,,38,,,,37*61
20181930-20:19:14:410021083 $GNGLL,,,,,034135.00,V,N*54
20181930-20:19:14:414815771 $GNZDA,034135.00,,,,00,00*78
20181930-20:19:14:903602281 $GNRMC,034136.00,V,,,,,,,,,,N*60
20181930-20:19:14:908424520 $GNVTG,,,,,,,,,N*2E
20181930-20:19:14:913377698 $GNGGA,034136.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:15:007888166 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:014497854 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:111747489 $GPGSV,2,1,07,02,,,26,04,,,37,05,,,35,12,,,25*7C
20181930-20:19:15:116651968 $GPGSV,2,2,07,13,,,08,20,,,23,29,,,38*77
20181930-20:19:15:395363010 $GLGSV,1,1,04,,,,28,,,,38,,,,38,,,,38*60
20181930-20:19:15:400017124 $GNGLL,,,,,034136.00,V,N*57
20181930-20:19:15:404654416 $GNZDA,034136.00,,,,00,00*7B
20181930-20:19:15:906770822 $GNRMC,034137.00,V,,,,,,,,,,N*61
20181930-20:19:15:911696031 $GNVTG,,,,,,,,,N*2E
20181930-20:19:15:916543843 $GNGGA,034137.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:16:011362280 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:017255822 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:115143843 $GPGSV,2,1,07,02,,,27,04,,,38,05,,,36,12,,,25*71
20181930-20:19:16:120488895 $GPGSV,2,2,07,13,,,08,20,,,24,29,,,39*71
20181930-20:19:16:405337332 $GLGSV,1,1,04,,,,27,,,,39,,,,38,,,,38*6E
20181930-20:19:16:409986291 $GNGLL,,,,,034137.00,V,N*56
20181930-20:19:16:414944259 $GNZDA,034137.00,,,,00,00*7A
20181930-20:19:16:907544103 $GNRMC,034138.00,V,,,,,,,,,,N*6E
20181930-20:19:16:912647853 $GNVTG,,,,,,,,,N*2E
20181930-20:19:16:917424624 $GNGGA,034138.00,,,,,0,00,99.99,,,,,,*75
20181930-20:19:17:012344259 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:017691916 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:117073582 $GPGSV,2,1,07,02,,,29,04,,,39,05,,,37,12,,,26*7C
20181930-20:19:17:122184572 $GPGSV,2,2,07,13,,,09,20,,,25,29,,,39*71
20181930-20:19:17:405376499 $GLGSV,1,1,04,,,,31,,,,39,,,,38,,,,38*69
20181930-20:19:17:410121395 $GNGLL,,,,,034138.00,V,N*59
20181930-20:19:17:415000509 $GNZDA,034138.00,,,,00,00*75
20181930-20:19:17:859414051 $GNRMC,034139.00,V,,,,,,,,,,N*6F
20181930-20:19:17:864413999 $GNVTG,,,,,,,,,N*2E
20181930-20:19:17:869415249 $GNGGA,034139.00,,,,,0,00,99.99,,,,,,*74
20181930-20:19:17:963521603 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:968519884 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:18:067362748 $GPGSV,2,1,07,02,,,29,04,,,38,05,,,35,12,,,26*7F
20181930-20:19:18:072245613 $GPGSV,2,2,07,13,,,10,20,,,23,29,,,40*71
20181930-20:19:18:355430300 $GLGSV,1,1,04,,,,25,,,,38,,,,38,,,,38*6D
20181930-20:19:18:360160561 $GNGLL,,,,,034139.00,V,N*58
20181930-20:19:18:364985248 $GNZDA,034139.00,,,,00,00*74
20181930-20:19:18:908939988 $GNRMC,034140.00,V,,,,,,,,,,N*61
20181930-20:19:18:913984050 $GNVTG,,,,,,,,,N*2E
20181930-20:19:18:919148738 $GNGGA,034140.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:19:013681498 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:019619102 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:19:117049571 $GPGSV,2,1,07,02,,,22,04,,,37,05,,,32,12,,,26*7C
20181930-20:19:19:122076602 $GPGSV,2,2,07,13,,,10,20,,,19,29,,,42*7A
20181930-20:19:19:415441133 $GLGSV,1,1,04,66,,,36,,,,23,,,,40,,,,37*65
20181930-20:19:19:420098269 $GNGLL,,,,,034140.00,V,N*56
20181930-20:19:19:424755560 $GNZDA,034140.00,,,,00,00*7A
20181930-20:19:19:908236237 $GNRMC,034141.00,V,,,,,,,,,,N*60
