20181330-20:13:27:071659166 $GNVTG,,,,,,,,,N*2E
20181330-20:13:27:074345208 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:27:172973906 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:27:175714739 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:27:178392447 $GPGSV,1,1,00*79
20181330-20:13:27:432333645 $GLGSV,1,1,00*65
20181330-20:13:27:437129479 $GNGLL,,,,,,V,N*7A
20181330-20:13:27:441936510 $GNZDA,,,,,00,00*56
20181330-20:13:28:071358541 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:28:076189114 $GNVTG,,,,,,,,,N*2E
20181330-20:13:28:081140207 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:28:175215728 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:28:180067864 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:28:185161770 $GPGSV,1,1,00*79
20181330-20:13:28:432092239 $GLGSV,1,1,00*65
20181330-20:13:28:436941666 $GNGLL,,,,,,V,N*7A
20181330-20:13:28:441858332 $GNZDA,,,,,00,00*56
20181330-20:13:29:071798645 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:29:076511457 $GNVTG,,,,,,,,,N*2E
20181330-20:13:29:081297655 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:29:175698957 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:29:180686874 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:29:185352603 $GPGSV,1,1,00*79
20181330-20:13:29:432048280 $GLGSV,1,1,00*65
20181330-20:13:29:436997499 $GNGLL,,,,,,V,N*7A
20181330-20:13:29:442271301 $GNZDA,,,,,00,00*56
20181330-20:13:30:070835675 $GNRMC,,V,,,,,,,,,,N*4D
20181330-20:13:30:075651248 $GNVTG,,,,,,,,,N*2E
20181330-20:13:30:080514217 $GNGGA,,,,,,0,00,99.99,,,,,,*56
20181330-20:13:30:174810259 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:30:179607342 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181330-20:13:30:184352759 $GPGSV,1,1,00*79
