20181726-14:17:28:161100093 $GPGSV,2,1,05,02,,,37,05,,,36,06,,,32,12,,,38*76
20181726-14:17:28:166027333 $GPGSV,2,2,05,13,,,41*7B
20181726-14:17:28:170882541 $GLGSV,1,1,01,,,,34*63
20181726-14:17:28:425116447 $GNGLL,,,,,033252.00,V,N*51
20181726-14:17:28:429983739 $GNZDA,033252.00,26,01,2018,00,00*73
20181726-14:17:28:953791291 $GNRMC,033253.00,V,,,,,,,260118,,,N*6B
20181726-14:17:28:958561031 $GNVTG,,,,,,,,,N*2E
20181726-14:17:29:057809624 $GNGGA,033253.00,,,,,0,00,99.99,,,,,,*7C
20181726-14:17:29:062762124 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:29:067820145 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:29:162117541 $GPGSV,2,1,06,02,,,37,05,,,36,06,,,31,12,,,38*76
20181726-14:17:29:166858635 $GPGSV,2,2,06,13,,,41,15,,,39*76
20181726-14:17:29:434987437 $GLGSV,1,1,01,,,,34*63
20181726-14:17:29:439557124 $GNGLL,,,,,033253.00,V,N*50
20181726-14:17:29:444364989 $GNZDA,033253.00,26,01,2018,00,00*72
20181726-14:17:29:959591343 $GNRMC,033254.00,V,,,,,,,260118,,,N*6C
20181726-14:17:29:964970353 $GNVTG,,,,,,,,,N*2E
20181726-14:17:30:063706759 $GNGGA,033254.00,,,,,0,00,99.99,,,,,,*7B
20181726-14:17:30:068417957 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:30:073213426 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:30:167709624 $GPGSV,2,1,06,02,,,37,05,,,34,06,,,37,12,,,39*73
20181726-14:17:30:172955613 $GPGSV,2,2,06,13,,,41,15,,,37*78
20181726-14:17:30:445116811 $GLGSV,1,1,01,,,,39*6E
20181726-14:17:30:456643374 $GNGLL,,,,,033254.00,V,N*57
20181726-14:17:30:462196967 $GNZDA,033254.00,26,01,2018,00,00*75
20181726-14:17:30:895392019 $GNRMC,033255.00,V,,,,,,,260118,,,N*6D
20181726-14:17:30:901128009 $GNVTG,,,,,,,,,N*2E
20181726-14:17:30:998923582 $GNGGA,033255.00,,,,,0,00,99.99,,,,,,*7A
20181726-14:17:31:003762280 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:31:008693582 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:31:103344988 $GPGSV,2,1,06,02,,,31,05,,,34,06,,,30,12,,,36*7D
20181726-14:17:31:108317540 $GPGSV,2,2,06,13,,,36,15,,,37*78
20181726-14:17:31:375402852 $GLGSV,1,1,01,,,,39*6E
20181726-14:17:31:380224936 $GNGLL,,,,,033255.00,V,N*56
20181726-14:17:31:385180509 $GNZDA,033255.00,26,01,2018,00,00*74
20181726-14:17:31:955073842 $GNRMC,033256.00,V,,,,,,,260118,,,N*6E
20181726-14:17:31:960975196 $GNVTG,,,,,,,,,N*2E
20181726-14:17:32:058765196 $GNGGA,033256.00,,,,,0,00,99.99,,,,,,*79
20181726-14:17:32:063888894 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:32:069125977 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:32:164065613 $GPGSV,2,1,06,02,,,31,05,,,38,06,,,28,12,,,37*79
20181726-14:17:32:168859779 $GPGSV,2,2,06,13,,,32,15,,,38*73
20181726-14:17:32:173758269 $GLGSV,1,1,01,,,,38*6F
20181726-14:17:32:435266863 $GNGLL,,,,,033256.00,V,N*55
20181726-14:17:32:440255040 $GNZDA,033256.00,26,01,2018,00,00*77
20181726-14:17:32:963902852 $GNRMC,033257.00,V,,,,,,,260118,,,N*6F
20181726-14:17:32:969200196 $GNVTG,,,,,,,,,N*2E
20181726-14:17:33:067949362 $GNGGA,033257.00,,,,,0,00,99.99,,,,,,*78
20181726-14:17:33:073066758 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:33:077860560 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:33:172261185 $GPGSV,2,1,06,02,,,32,05,,,39,06,,,20,12,,,36*72
20181726-14:17:33:176895873 $GPGSV,2,2,06,13,,,32,15,,,36*7D
20181726-14:17:33:445189987 $GLGSV,1,1,01,,,,35*62
20181726-14:17:33:450361706 $GNGLL,,,,,033257.00,V,N*54
20181726-14:17:33:455737279 $GNZDA,033257.00,26,01,2018,00,00*76
20181726-14:17:33:958447852 $GNRMC,033258.00,V,,,,,,,260118,,,N*60
20181726-14:17:33:966236341 $GNVTG,,,,,,,,,N*2E
20181726-14:17:34:062480351 $GNGGA,033258.00,,,,,0,00,99.99,,,,,,*77
20181726-14:17:34:067310508 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:34:072163737 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:34:166401549 $GPGSV,2,1,06,02,,,33,05,,,39,06,,,21,12,,,36*72
20181726-14:17:34:171430664 $GPGSV,2,2,06,13,,,33,15,,,37*7D
20181726-14:17:34:446207435 $GLGSV,1,1,01,,,,36*61
20181726-14:17:34:451583476 $GNGLL,,,,,033258.00,V,N*5B
20181726-14:17:34:456924883 $GNZDA,033258.00,26,01,2018,00,00*79
20181726-14:17:34:961585403 $GNRMC,033259.00,V,,,,,,,260118,,,N*61
20181726-14:17:34:967881341 $GNVTG,,,,,,,,,N*2E
20181726-14:17:35:065127695 $GNGGA,033259.00,,,,,0,00,99.99,,,,,,*76
20181726-14:17:35:070147018 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:35:075171289 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:35:169469986 $GPGSV,2,1,07,02,,,36,05,,,39,06,,,21,12,,,37*77
20181726-14:17:35:174426705 $GPGSV,2,2,07,13,,,33,15,,,37,19,,,28*7E
20181726-14:17:35:455958580 $GLGSV,1,1,01,,,,37*60
20181726-14:17:35:461320611 $GNGLL,,,,,033259.00,V,N*5A
20181726-14:17:35:466433945 $GNZDA,033259.00,26,01,2018,00,00*78
20181726-14:17:35:963188892 $GNRMC,033300.00,V,,,,,,,260118,,,N*6C
20181726-14:17:35:968744726 $GNVTG,,,,,,,,,N*2E
20181726-14:17:36:066355247 $GNGGA,033300.00,,,,,0,00,99.99,,,,,,*7B
20181726-14:17:36:071336913 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:36:076133892 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:36:170693215 $GPGSV,2,1,08,02,,,33,05,,,39,06,,,25,12,,,40*79
20181726-14:17:36:175881653 $GPGSV,2,2,08,13,,,28,15,,,36,19,,,28,20,,,31*7A
20181726-14:17:36:465249048 $GLGSV,1,1,01,,,,38*6F
20181726-14:17:36:469973059 $GNGLL,,,,,033300.00,V,N*57
20181726-14:17:36:475127278 $GNZDA,033300.00,26,01,2018,00,00*75
20181726-14:17:36:971603007 $GNRMC,033301.01,A,3651.98659,S,17443.43541,E,0.018,,260118,,,A*7D
20181726-14:17:37:075270663 $GNVTG,,T,,M,0.018,N,0.033,K,A*34
20181726-14:17:37:080381340 $GNGGA,033301.01,3651.98659,S,17443.43541,E,1,04,3.81,28.4,M,28.1,M,,*6F
20181726-14:17:37:179509361 $GNGSA,A,3,05,13,12,02,,,,,,,,,6.05,3.81,4.70*10
20181726-14:17:37:184676184 $GNGSA,A,3,,,,,,,,,,,,,6.05,3.81,4.70*16
