20181930-20:19:13:357986761 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:13:362903844 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:13:457275511 $GPGSV,2,1,05,02,,,40,05,,,45,12,,,35,19,,,32*71
20181930-20:19:13:462153896 $GPGSV,2,2,05,29,,,28*7D
20181930-20:19:13:732564156 $GLGSV,1,1,03,,,,36,,,,39,,,,36*6C
20181930-20:19:13:737142229 $GNGLL,,,,,022735.00,V,N*55
20181930-20:19:13:741984365 $GNZDA,022735.00,31,01,2018,00,00*71
20181930-20:19:14:244897333 $GNRMC,022736.00,V,,,,,,,310118,,,N*6B
20181930-20:19:14:249971187 $GNVTG,,,,,,,,,N*2E
20181930-20:19:14:348997073 $GNGGA,022736.00,,,,,0,00,99.99,,,,,,*7A
20181930-20:19:14:353871135 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:358521239 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:14:453134416 $GPGSV,2,1,05,02,,,39,05,,,44,12,,,35,19,,,32*7E
20181930-20:19:14:457814104 $GPGSV,2,2,05,29,,,30*74
20181930-20:19:14:732458896 $GLGSV,1,1,03,,,,38,,,,40,,,,34*6E
20181930-20:19:14:737138791 $GNGLL,,,,,022736.00,V,N*56
20181930-20:19:14:741902958 $GNZDA,022736.00,31,01,2018,00,00*72
20181930-20:19:15:248739104 $GNRMC,022737.00,V,,,,,,,310118,,,N*6A
20181930-20:19:15:258498739 $GNVTG,,,,,,,,,N*2E
20181930-20:19:15:352635354 $GNGGA,022737.00,,,,,0,00,99.99,,,,,,*7B
20181930-20:19:15:357356864 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:362102854 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:15:456651135 $GPGSV,2,1,05,02,,,40,05,,,45,12,,,35,19,,,32*71
20181930-20:19:15:461379208 $GPGSV,2,2,05,29,,,31*75
20181930-20:19:15:732329156 $GLGSV,1,1,03,,,,37,,,,40,,,,37*62
20181930-20:19:15:736933895 $GNGLL,,,,,022737.00,V,N*57
20181930-20:19:15:741869051 $GNZDA,022737.00,31,01,2018,00,00*73
20181930-20:19:16:243434103 $GNRMC,022738.00,V,,,,,,,310118,,,N*65
20181930-20:19:16:248412228 $GNVTG,,,,,,,,,N*2E
20181930-20:19:16:347527124 $GNGGA,022738.00,,,,,0,00,99.99,,,,,,*74
20181930-20:19:16:352710614 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:358027280 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:16:451644676 $GPGSV,2,1,05,02,,,40,05,,,45,12,,,38,19,,,31*7F
20181930-20:19:16:456337957 $GPGSV,2,2,05,29,,,33*77
20181930-20:19:16:732348218 $GLGSV,1,1,03,,,,37,,,,40,,,,37*62
20181930-20:19:16:736924989 $GNGLL,,,,,022738.00,V,N*58
20181930-20:19:16:741617384 $GNZDA,022738.00,31,01,2018,00,00*7C
20181930-20:19:17:193116186 $GNRMC,022739.00,V,,,,,,,310118,,,N*64
20181930-20:19:17:197930353 $GNVTG,,,,,,,,,N*2E
20181930-20:19:17:295916811 $GNGGA,022739.00,,,,,0,00,99.99,,,,,,*75
20181930-20:19:17:300798895 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:17:305493113 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
