20184526-13:45:16:188088842 $GNGGA,024024.00,,,,,0,00,99.99,,,,,,*78
20184526-13:45:16:193210925 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:16:198134884 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:16:292353321 $GPGSV,2,1,06,02,,,34,05,,,26,06,,,36,19,,,37*77
20184526-13:45:16:297125509 $GPGSV,2,2,06,20,,,36,29,,,29*78
20184526-13:45:16:572074467 $GLGSV,1,1,02,,,,30,,,,22*64
20184526-13:45:16:576599988 $GNGLL,,,,,024024.00,V,N*54
20184526-13:45:16:581543165 $GNZDA,024024.00,26,01,2018,00,00*76
20184526-13:45:17:016644831 $GNRMC,024025.00,V,,,,,,,260118,,,N*6E
20184526-13:45:17:021323581 $GNVTG,,,,,,,,,N*2E
20184526-13:45:17:120655717 $GNGGA,024025.00,,,,,0,00,99.99,,,,,,*79
20184526-13:45:17:125409050 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:17:130791290 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:17:224795300 $GPGSV,2,1,06,02,,,30,05,,,35,06,,,30,19,,,33*73
20184526-13:45:17:229597383 $GPGSV,2,2,06,20,,,36,29,,,21*70
20184526-13:45:17:512422279 $GLGSV,1,1,02,,,,28,,,,22*6D
20184526-13:45:17:517117019 $GNGLL,,,,,024025.00,V,N*55
20184526-13:45:17:522051081 $GNZDA,024025.00,26,01,2018,00,00*77
20184526-13:45:18:085810300 $GNRMC,024026.00,V,,,,,,,260118,,,N*6D
20184526-13:45:18:091029206 $GNVTG,,,,,,,,,N*2E
20184526-13:45:18:190172852 $GNGGA,024026.00,,,,,0,00,99.99,,,,,,*7A
20184526-13:45:18:195247696 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:18:200308008 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:18:293849466 $GPGSV,2,1,06,02,,,39,05,,,35,06,,,34,19,,,35*78
20184526-13:45:18:298577696 $GPGSV,2,2,06,20,,,35,29,,,23*71
20184526-13:45:18:572196706 $GLGSV,1,1,02,,,,27,,,,22*62
20184526-13:45:18:576765143 $GNGLL,,,,,024026.00,V,N*56
20184526-13:45:18:581436341 $GNZDA,024026.00,26,01,2018,00,00*74
20184526-13:45:19:087937591 $GNRMC,024027.00,V,,,,,,,260118,,,N*6C
20184526-13:45:19:092663008 $GNVTG,,,,,,,,,N*2E
20184526-13:45:19:192022851 $GNGGA,024027.00,,,,,0,00,99.99,,,,,,*7B
20184526-13:45:19:196667487 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:19:201438216 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:19:296577851 $GPGSV,2,1,06,02,,,39,05,,,32,06,,,37,19,,,34*7D
20184526-13:45:19:301635351 $GPGSV,2,2,06,20,,,35,29,,,20*72
20184526-13:45:19:582101237 $GLGSV,1,1,02,,,,29,,,,29*67
20184526-13:45:19:586628268 $GNGLL,,,,,024027.00,V,N*57
20184526-13:45:19:591324466 $GNZDA,024027.00,26,01,2018,00,00*75
20184526-13:45:20:090639674 $GNRMC,024028.00,V,,,,,,,260118,,,N*63
20184526-13:45:20:095361184 $GNVTG,,,,,,,,,N*2E
20184526-13:45:20:194552018 $GNGGA,024028.00,,,,,0,00,99.99,,,,,,*74
20184526-13:45:20:199342695 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:20:203955455 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:20:298758163 $GPGSV,2,1,06,02,,,40,05,,,34,06,,,38,19,,,37*79
20184526-13:45:20:303685038 $GPGSV,2,2,06,20,,,26,29,,,19*7A
20184526-13:45:20:582194049 $GLGSV,1,1,02,,,,28,,,,33*6D
20184526-13:45:20:586818632 $GNGLL,,,,,024028.00,V,N*58
20184526-13:45:20:591455090 $GNZDA,024028.00,26,01,2018,00,00*7A
20184526-13:45:21:094282278 $GNRMC,024029.00,V,,,,,,,260118,,,N*62
20184526-13:45:21:098964622 $GNVTG,,,,,,,,,N*2E
20184526-13:45:21:198297069 $GNGGA,024029.00,,,,,0,00,99.99,,,,,,*75
20184526-13:45:21:203311080 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:21:208067174 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:21:302618788 $GPGSV,2,1,06,02,,,39,05,,,41,06,,,41,19,,,42*79
20184526-13:45:21:307335611 $GPGSV,2,2,06,20,,,25,29,,,20*73
20184526-13:45:21:582165923 $GLGSV,1,1,02,,,,27,,,,31*60
20184526-13:45:21:586816601 $GNGLL,,,,,024029.00,V,N*59
20184526-13:45:21:591472642 $GNZDA,024029.00,26,01,2018,00,00*7B
20184526-13:45:22:084426444 $GNRMC,024030.00,V,,,,,,,260118,,,N*6A
20184526-13:45:22:089126757 $GNVTG,,,,,,,,,N*2E
20184526-13:45:22:188477121 $GNGGA,024030.00,,,,,0,00,99.99,,,,,,*7D
20184526-13:45:22:193134413 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:22:197963475 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:22:292687277 $GPGSV,2,1,06,02,,,36,05,,,37,06,,,38,19,,,29*74
20184526-13:45:22:297372277 $GPGSV,2,2,06,20,,,27,29,,,21*70
20184526-13:45:22:572130038 $GLGSV,1,1,02,,,,27,,,,31*60
20184526-13:45:22:576732017 $GNGLL,,,,,024030.00,V,N*51
20184526-13:45:22:581400298 $GNZDA,024030.00,26,01,2018,00,00*73
20184526-13:45:23:089575819 $GNRMC,024031.00,V,,,,,,,260118,,,N*6B
20184526-13:45:23:094201756 $GNVTG,,,,,,,,,N*2E
20184526-13:45:23:193819569 $GNGGA,024031.00,,,,,0,00,99.99,,,,,,*7C
20184526-13:45:23:198882954 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:23:203984412 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:23:299168371 $GPGSV,2,1,06,02,,,30,05,,,37,06,,,31,19,,,35*76
20184526-13:45:23:304241444 $GPGSV,2,2,06,20,,,32,29,,,23*76
20184526-13:45:23:582505298 $GLGSV,1,1,02,,,,26,,,,32*62
20184526-13:45:23:587412693 $GNGLL,,,,,024031.00,V,N*50
20184526-13:45:23:592330818 $GNZDA,024031.00,26,01,2018,00,00*72
20184526-13:45:24:089696495 $GNRMC,024032.00,V,,,,,,,260118,,,N*68
20184526-13:45:24:094462172 $GNVTG,,,,,,,,,N*2E
20184526-13:45:24:193911495 $GNGGA,024032.00,,,,,0,00,99.99,,,,,,*7F
20184526-13:45:24:198778527 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:24:203861756 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:24:297775193 $GPGSV,2,1,06,02,,,34,05,,,35,06,,,35,19,,,38*79
20184526-13:45:24:302582797 $GPGSV,2,2,06,20,,,30,29,,,25*72
20184526-13:45:24:582339047 $GLGSV,1,1,03,,,,25,,,,30,,,,38*69
20184526-13:45:24:587254047 $GNGLL,,,,,024032.00,V,N*53
20184526-13:45:24:592192329 $GNZDA,024032.00,26,01,2018,00,00*71
20184526-13:45:25:088931808 $GNRMC,024033.00,V,,,,,,,260118,,,N*69
20184526-13:45:25:093648943 $GNVTG,,,,,,,,,N*2E
20184526-13:45:25:192837901 $GNGGA,024033.00,,,,,0,00,99.99,,,,,,*7E
20184526-13:45:25:197703422 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:25:202550662 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:25:296864203 $GPGSV,2,1,06,02,,,33,05,,,32,06,,,34,19,,,37*77
20184526-13:45:25:301615557 $GPGSV,2,2,06,20,,,35,29,,,27*75
20184526-13:45:25:592273005 $GLGSV,1,1,04,,,,26,,,,31,,,,36,,,,36*67
20184526-13:45:26:326061651 $GNGLL,,,,,024033.00,V,N*52
20184526-13:45:26:331369047 $GNZDA,024033.00,26,01,2018,00,00*70
20184526-13:45:26:337123578 $GNRMC,024034.00,V,,,,,,,260118,,,N*6E
20184526-13:45:26:342841390 $GNVTG,,,,,,,,,N*2E
20184526-13:45:26:350144620 $GNGGA,024034.00,,,,,0,00,99.99,,,,,,*79
20184526-13:45:26:356913526 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:26:362496963 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:26:368011911 $GPGSV,2,1,06,02,,,38,05,,,35,06,,,39,19,,,37*76
20184526-13:45:26:373249255 $GPGSV,2,2,06,20,,,38,29,,,32*7C
20184526-13:45:26:592190557 $GLGSV,1,1,04,,,,26,,,,32,,,,38,,,,36*6A
20184526-13:45:26:596864099 $GNGLL,,,,,024034.00,V,N*55
20184526-13:45:26:601637953 $GNZDA,024034.00,26,01,2018,00,00*77
20184526-13:45:27:094969307 $GNRMC,024035.00,V,,,,,,,260118,,,N*6F
20184526-13:45:27:099934203 $GNVTG,,,,,,,,,N*2E
20184526-13:45:27:200314880 $GNGGA,024035.00,,,,,0,00,99.99,,,,,,*78
20184526-13:45:27:205133734 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:27:209848682 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20184526-13:45:27:304626755 $GPGSV,2,1,06,02,,,37,05,,,31,06,,,39,19,,,38*72
20184526-13:45:27:309640713 $GPGSV,2,2,06,20,,,39,29,,,31*7E
20184526-13:45:27:602231390 $GLGSV,1,1,04,,,,27,,,,33,,,,37,,,,35*66
20184526-13:45:27:606879098 $GNGLL,,,,,024035.00,V,N*54
20184526-13:45:27:611667952 $GNZDA,024035.00,26,01,2018,00,00*76
