20181726-14:17:28:202039364 $GNGGA,034258.00,,,,,0,00,99.99,,,,,,*70
20181726-14:17:28:207535510 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:28:212590302 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:28:306699677 $GPGSV,1,1,04,02,,,33,05,,,33,12,,,36,13,,,29*75
20181726-14:17:28:311714572 $GLGSV,1,1,01,,,,35*62
20181726-14:17:28:316950770 $GNGLL,,,,,034258.00,V,N*5C
20181726-14:17:28:549036395 $GNZDA,034258.00,26,01,2018,00,00*7E
20181726-14:17:29:116458843 $GNRMC,034259.00,V,,,,,,,260118,,,N*66
20181726-14:17:29:121285353 $GNVTG,,,,,,,,,N*2E
20181726-14:17:29:220955093 $GNGGA,034259.00,,,,,0,00,99.99,,,,,,*71
20181726-14:17:29:226667541 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:29:231733582 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:29:324558635 $GPGSV,1,1,04,02,,,33,05,,,33,12,,,36,13,,,29*75
20181726-14:17:29:329693530 $GLGSV,1,1,01,,,,35*62
20181726-14:17:29:334388530 $GNGLL,,,,,034259.00,V,N*5D
20181726-14:17:29:569111968 $GNZDA,034259.00,26,01,2018,00,00*7F
20181726-14:17:30:107190197 $GNRMC,034300.00,V,,,,,,,260118,,,N*6B
20181726-14:17:30:112053530 $GNVTG,,,,,,,,,N*2E
20181726-14:17:30:213629572 $GNGGA,034300.00,,,,,0,00,99.99,,,,,,*7C
20181726-14:17:30:220052020 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:30:225281030 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181726-14:17:30:316699676 $GPGSV,2,1,05,02,,,32,05,,,33,12,,,36,13,,,29*76
20181726-14:17:30:321544832 $GPGSV,2,2,05,29,,,34*70
20181726-14:17:30:326275301 $GLGSV,1,1,01,,,,31*66
20181726-14:17:30:578915249 $GNGLL,,,,,034300.00,V,N*50
20181726-14:17:30:583439363 $GNZDA,034300.00,26,01,2018,00,00*72
20181726-14:17:31:103210978 $GNRMC,034301.00,V,,,,,,,260118,,,N*6A
20181726-14:17:31:108222801 $GNVTG,,,,,,,,,N*2E
20181726-14:17:31:206923425 $GNGGA,034301.00,,,,,0,03,3.30,,,,,,*4E
20181726-14:17:31:212545978 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:31:218711186 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:31:311229780 $GPGSV,2,1,05,02,43,117,27,05,78,110,33,12,,,35,13,17,035,31*47
20181726-14:17:31:316352123 $GPGSV,2,2,05,29,,,33*77
20181726-14:17:31:589006811 $GLGSV,1,1,01,,,,35*62
20181726-14:17:31:593722488 $GNGLL,,,,,034301.00,V,N*51
20181726-14:17:31:598447696 $GNZDA,034301.00,26,01,2018,00,00*73
20181726-14:17:31:962981186 $GNRMC,034302.00,V,,,,,,,260118,,,N*69
20181726-14:17:31:968007279 $GNVTG,,,,,,,,,N*2E
20181726-14:17:32:066920300 $GNGGA,034302.00,,,,,0,03,3.30,,,,,,*4D
20181726-14:17:32:071885925 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:32:076703790 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:32:171429467 $GPGSV,2,1,06,02,43,117,31,05,78,110,32,12,,,37,13,17,035,30*41
20181726-14:17:32:176677175 $GPGSV,2,2,06,20,,,30,29,,,37*71
20181726-14:17:32:459088790 $GLGSV,1,1,01,,,,35*62
20181726-14:17:32:463815248 $GNGLL,,,,,034302.00,V,N*52
20181726-14:17:32:468466081 $GNZDA,034302.00,26,01,2018,00,00*70
20181726-14:17:32:966624987 $GNRMC,034303.00,V,,,,,,,260118,,,N*68
20181726-14:17:32:971822800 $GNVTG,,,,,,,,,N*2E
20181726-14:17:33:070043008 $GNGGA,034303.00,,,,,0,03,3.30,,,,,,*4C
20181726-14:17:33:074885925 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:33:079600769 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:33:176660925 $GPGSV,2,1,06,02,43,117,33,05,78,110,27,12,,,36,13,17,035,30*46
20181726-14:17:33:182603841 $GPGSV,2,2,06,20,,,30,29,,,37*71
20181726-14:17:33:468999623 $GLGSV,1,1,02,,,,35,,,,41*64
20181726-14:17:33:473705300 $GNGLL,,,,,034303.00,V,N*53
20181726-14:17:33:478435456 $GNZDA,034303.00,26,01,2018,00,00*71
20181726-14:17:33:968010299 $GNRMC,034304.00,V,,,,,,,260118,,,N*6F
20181726-14:17:33:973244154 $GNVTG,,,,,,,,,N*2E
20181726-14:17:34:071894362 $GNGGA,034304.00,,,,,0,03,3.30,,,,,,*4B
20181726-14:17:34:077097747 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:34:082071497 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:34:176045612 $GPGSV,2,1,06,02,43,117,33,05,78,110,32,12,,,33,13,17,035,30*47
20181726-14:17:34:181513841 $GPGSV,2,2,06,20,,,31,29,,,34*73
20181726-14:17:34:469083424 $GLGSV,1,1,02,,,,35,,,,41*64
20181726-14:17:34:473895091 $GNGLL,,,,,034304.00,V,N*54
20181726-14:17:34:478737278 $GNZDA,034304.00,26,01,2018,00,00*76
20181726-14:17:34:968863684 $GNRMC,034305.00,V,,,,,,,260118,,,N*6E
20181726-14:17:34:973663112 $GNVTG,,,,,,,,,N*2E
20181726-14:17:35:072841445 $GNGGA,034305.00,,,,,0,03,3.30,,,,,,*4A
20181726-14:17:35:077799257 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:35:082521445 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:35:178076549 $GPGSV,2,1,06,02,43,117,32,05,78,110,32,12,,,33,13,17,035,30*46
20181726-14:17:35:183456028 $GPGSV,2,2,06,20,,,31,29,,,37*70
20181726-14:17:35:469185455 $GLGSV,1,1,02,,,,34,,,,41*65
20181726-14:17:35:473927330 $GNGLL,,,,,034305.00,V,N*55
20181726-14:17:35:478758059 $GNZDA,034305.00,26,01,2018,00,00*77
20181726-14:17:35:967114934 $GNRMC,034306.00,V,,,,,,,260118,,,N*6D
20181726-14:17:35:972098840 $GNVTG,,,,,,,,,N*2E
20181726-14:17:36:070819257 $GNGGA,034306.00,,,,,0,03,3.30,,,,,,*49
20181726-14:17:36:075912851 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:36:080905403 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:36:175794726 $GPGSV,2,1,06,02,43,117,32,05,78,110,32,12,,,33,13,17,035,29*4E
20181726-14:17:36:181107590 $GPGSV,2,2,06,20,,,32,29,,,36*72
20181726-14:17:36:468958840 $GLGSV,1,1,02,,,,34,,,,40*64
20181726-14:17:36:473536965 $GNGLL,,,,,034306.00,V,N*56
20181726-14:17:36:478372694 $GNZDA,034306.00,26,01,2018,00,00*74
20181726-14:17:36:968428840 $GNRMC,034307.00,V,,,,,,,260118,,,N*6C
20181726-14:17:36:973294934 $GNVTG,,,,,,,,,N*2E
20181726-14:17:37:072236288 $GNGGA,034307.00,,,,,0,03,3.30,,,,,,*48
20181726-14:17:37:077248892 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:37:082414517 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:37:176852746 $GPGSV,2,1,06,02,43,117,32,05,78,110,32,12,,,34,13,17,035,29*49
20181726-14:17:37:182125923 $GPGSV,2,2,06,20,,,33,29,,,37*72
20181726-14:17:37:469433215 $GLGSV,1,1,02,,,,34,,,,39*6A
20181726-14:17:37:474229256 $GNGLL,,,,,034307.00,V,N*57
20181726-14:17:37:479255559 $GNZDA,034307.00,26,01,2018,00,00*75
20181726-14:17:37:973354100 $GNRMC,034308.00,V,,,,,,,260118,,,N*63
20181726-14:17:37:978397017 $GNVTG,,,,,,,,,N*2E
20181726-14:17:38:077363683 $GNGGA,034308.00,,,,,0,03,3.30,,,,,,*47
20181726-14:17:38:082292069 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.30,1.00*19
20181726-14:17:38:087406756 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.30,1.00*1C
20181726-14:17:38:184216131 $GPGSV,2,1,06,02,43,117,31,05,78,110,33,12,,,35,13,17,035,29*4A
20181726-14:17:38:189947746 $GPGSV,2,2,06,20,,,34,29,,,35*77
20181726-14:17:38:489163110 $GLGSV,1,1,04,,,,34,,,,40,,,,38,,,,30*6A
20181726-14:17:38:493837798 $GNGLL,,,,,034308.00,V,N*58
20181726-14:17:38:498796339 $GNZDA,034308.00,26,01,2018,00,00*7A
20181726-14:17:38:974891652 $GNRMC,034309.00,V,,,,,,,260118,,,N*62
20181726-14:17:38:979885245 $GNVTG,,,,,,,,,N*2E
20181726-14:17:39:078637850 $GNGGA,034309.00,,,,,0,03,3.29,,,,,,*4E
20181726-14:17:39:083590818 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.29,1.00*11
20181726-14:17:39:088251912 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.29,1.00*14
20181726-14:17:39:182595193 $GPGSV,2,1,06,02,43,117,33,05,78,110,33,12,,,34,13,17,035,36*47
20181726-14:17:39:187822954 $GPGSV,2,2,06,20,,,29,29,,,40*79
20181726-14:17:39:286980141 $GLGSV,2,1,06,,,,34,,,,39,,,,33,,,,32*6C
20181726-14:17:39:291997016 $GLGSV,2,2,06,,,,34,,,,39*6E
20181726-14:17:39:296841704 $GNGLL,,,,,034309.00,V,N*59
20181726-14:17:39:518956443 $GNZDA,034309.00,26,01,2018,00,00*7B
20181726-14:17:40:002019464 $GNRMC,034310.00,V,,,,,,,260118,,,N*6A
20181726-14:17:40:007023526 $GNVTG,,,,,,,,,N*2E
20181726-14:17:40:105964828 $GNGGA,034310.00,,,,,0,03,3.29,,,,,,*46
20181726-14:17:40:111039464 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.29,1.00*11
20181726-14:17:40:117880193 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.29,1.00*14
20181726-14:17:40:210052172 $GPGSV,2,1,06,02,43,117,33,05,78,110,27,12,,,34,13,17,035,39*4D
20181726-14:17:40:214938682 $GPGSV,2,2,06,20,,,20,29,,,40*70
20181726-14:17:40:314075297 $GLGSV,2,1,06,70,69,048,37,,,,24,,,,33,,,,35*50
20181726-14:17:40:319332901 $GLGSV,2,2,06,,,,24,,,,33*65
20181726-14:17:40:335952537 $GNGLL,,,,,034310.00,V,N*51
20181726-14:17:40:559123734 $GNZDA,034310.00,26,01,2018,00,00*73
20181726-14:17:40:978459620 $GNRMC,034311.00,V,,,,,,,260118,,,N*6B
20181726-14:17:40:983283890 $GNVTG,,,,,,,,,N*2E
20181726-14:17:41:082321911 $GNGGA,034311.00,,,,,0,03,3.29,,,,,,*47
20181726-14:17:41:087512693 $GNGSA,A,1,02,13,05,,,,,,,,,,3.44,3.29,1.00*11
20181726-14:17:41:092515974 $GNGSA,A,1,,,,,,,,,,,,,3.44,3.29,1.00*14
20181726-14:17:41:187681755 $GPGSV,2,1,06,02,43,117,33,05,78,110,31,12,,,37,13,17,035,38*48
20181726-14:17:41:192492536 $GPGSV,2,2,06,20,,,30,29,,,35*73
20181726-14:17:41:292047432 $GLGSV,2,1,06,70,69,048,35,,,,37,,,,29,,,,37*59
20181726-14:17:41:297179359 $GLGSV,2,2,06,,,,37,,,,29*6C
20181726-14:17:41:302052640 $GNGLL,,,,,034311.00,V,N*50
20181726-14:17:41:539158317 $GNZDA,034311.00,26,01,2018,00,00*72
20181726-14:17:42:012537536 $GNRMC,034311.00,V,,,,,,,260118,,,N*6B
20181726-14:17:42:017697015 $GNVTG,,,,,,,,,N*2E
20181726-14:17:42:117055453 $GNGGA,034311.00,,,,,0,04,9.59,,,,,,*4D
20181726-14:17:42:122220192 $GNGSA,A,1,02,13,05,,,,,,,,,,12.57,9.59,8.13*25
20181726-14:17:42:127580296 $GNGSA,A,1,70,,,,,,,,,,,,12.57,9.59,8.13*27
20181726-14:17:42:220837692 $GPGSV,2,1,06,02,43,117,34,05,78,110,26,12,,,38,13,17,035,33*4D
20181726-14:17:42:225593734 $GPGSV,2,2,06,20,,,31,29,,,38*7F
20181726-14:17:42:324763838 $GLGSV,2,1,06,70,69,048,31,,,,34,,,,34,,,,31*54
20181726-14:17:42:329864307 $GLGSV,2,2,06,,,,34,,,,34*63
20181726-14:17:42:569152848 $GNGLL,,,,,034311.00,V,N*50
20181726-14:17:42:574098265 $GNZDA,034311.00,26,01,2018,00,00*72
20181726-14:17:42:977269358 $GNRMC,034312.00,V,,,,,,,260118,,,N*68
20181726-14:17:42:982027692 $GNVTG,,,,,,,,,N*2E
20181726-14:17:43:080803004 $GNGGA,034312.00,,,,,0,04,9.59,,,,,,*4E
20181726-14:17:43:086135608 $GNGSA,A,1,02,13,05,,,,,,,,,,12.57,9.59,8.13*25
20181726-14:17:43:090915973 $GNGSA,A,1,70,,,,,,,,,,,,12.57,9.59,8.13*27
20181726-14:17:43:185307483 $GPGSV,2,1,07,02,43,117,34,05,78,110,27,12,,,37,13,17,035,31*40
20181726-14:17:43:289092692 $GPGSV,2,2,07,20,,,31,25,,,35,29,,,37*70
20181726-14:17:43:294112900 $GLGSV,2,1,05,70,69,048,30,,,,31,,,,37,,,,42*54
20181726-14:17:43:299173004 $GLGSV,2,2,05,,,,31*62
20181726-14:17:43:539061754 $GNGLL,,,,,034312.00,V,N*53
20181726-14:17:43:543931442 $GNZDA,034312.00,26,01,2018,00,00*71
20181726-14:17:43:995547587 $GNRMC,034313.00,V,,,,,,,260118,,,N*69
20181726-14:17:44:000410087 $GNVTG,,,,,,,,,N*2E
20181726-14:17:44:099349202 $GNGGA,034313.00,,,,,0,04,9.59,,,,,,*4F
20181726-14:17:44:104387379 $GNGSA,A,1,02,13,05,,,,,,,,,,12.58,9.59,8.13*2A
20181726-14:17:44:109770816 $GNGSA,A,1,70,,,,,,,,,,,,12.58,9.59,8.13*28
20181726-14:17:44:203688473 $GPGSV,2,1,08,02,43,117,36,05,78,110,27,06,,,37,12,,,34*7C
20181726-14:17:44:308897170 $GPGSV,2,2,08,13,17,035,29,20,,,31,25,,,35,29,,,38*49
20181726-14:17:44:313971181 $GLGSV,2,1,06,70,69,048,32,,,,20,,,,38,,,,41*59
20181726-14:17:44:319070712 $GLGSV,2,2,06,,,,20,,,,38*6A
20181726-14:17:44:569171389 $GNGLL,,,,,034313.00,V,N*52
20181726-14:17:44:573994045 $GNZDA,034313.00,26,01,2018,00,00*70
20181726-14:17:44:990336441 $GNRMC,034314.00,V,,,,,,,260118,,,N*6E
20181726-14:17:44:995342222 $GNVTG,,,,,,,,,N*2E
20181726-14:17:45:094507014 $GNGGA,034314.00,,,,,0,04,9.59,,,,,,*48
20181726-14:17:45:100209149 $GNGSA,A,1,02,13,05,,,,,,,,,,12.58,9.59,8.14*2D
20181726-14:17:45:105382691 $GNGSA,A,1,70,,,,,,,,,,,,12.58,9.59,8.14*2F
20181726-14:17:45:198118003 $GPGSV,2,1,08,02,43,117,39,05,78,110,26,06,,,38,12,,,37*7E
20181726-14:17:45:302338212 $GPGSV,2,2,08,13,17,035,20,20,,,35,25,,,30,29,,,36*4F
20181726-14:17:45:307568785 $GLGSV,2,1,07,70,69,048,36,,,,33,,,,37,,,,25*53
20181726-14:17:45:312571753 $GLGSV,2,2,07,,,,33,,,,37,,,,25*61
20181726-14:17:45:569017066 $GNGLL,,,,,034314.00,V,N*55
20181726-14:17:45:573870399 $GNZDA,034314.00,26,01,2018,00,00*77
20181726-14:17:45:989308420 $GNRMC,034315.00,V,,,,,,,260118,,,N*6F
20181726-14:17:45:994159982 $GNVTG,,,,,,,,,N*2E
20181726-14:17:46:093679878 $GNGGA,034315.00,,,,,0,04,9.59,,,,,,*49
20181726-14:17:46:100659149 $GNGSA,A,1,02,13,05,,,,,,,,,,12.58,9.59,8.14*2D
20181726-14:17:46:106516076 $GNGSA,A,1,70,,,,,,,,,,,,12.58,9.59,8.14*2F
20181726-14:17:46:197603941 $GPGSV,2,1,08,02,43,117,38,05,78,111,27,06,,,38,12,,,35*7D
20181726-14:17:46:301458107 $GPGSV,2,2,08,13,17,035,22,20,,,35,25,,,34,29,,,36*49
20181726-14:17:46:306352899 $GLGSV,2,1,07,70,69,048,35,,,,28,,,,38,,,,24*54
20181726-14:17:46:311339513 $GLGSV,2,2,07,,,,28,,,,38,,,,24*65
20181726-14:17:46:568912118 $GNGLL,,,,,034315.00,V,N*54
20181726-14:17:46:573483107 $GNZDA,034315.00,26,01,2018,00,00*76
20181726-14:17:46:984757847 $GNRMC,034316.00,V,,,,,,,260118,,,N*6C
20181726-14:17:46:989809930 $GNVTG,,,,,,,,,N*2E
20181726-14:17:47:088985503 $GNGGA,034316.00,,,,,0,04,9.59,,,,,,*4A
20181726-14:17:47:093939721 $GNGSA,A,1,02,13,05,,,,,,,,,,12.58,9.59,8.14*2D
20181726-14:17:47:101683107 $GNGSA,A,1,70,,,,,,,,,,,,12.58,9.59,8.14*2F
20181726-14:17:47:192993524 $GPGSV,2,1,08,02,43,117,34,05,78,111,27,06,,,31,12,,,32*7F
20181726-14:17:47:297234930 $GPGSV,2,2,08,13,17,036,40,20,,,31,25,,,31,29,,,35*4C
20181726-14:17:47:302214096 $GLGSV,2,1,06,70,69,048,35,,,,33,,,,31,,,,35*56
20181726-14:17:47:307153107 $GLGSV,2,2,06,,,,33,,,,31*61
20181726-14:17:47:559149148 $GNGLL,,,,,034316.00,V,N*57
20181726-14:17:47:564124044 $GNZDA,034316.00,26,01,2018,00,00*75
20181726-14:17:47:983022794 $GNRMC,034317.00,V,,,,,,,260118,,,N*6D
20181726-14:17:47:988019304 $GNVTG,,,,,,,,,N*2E
20181726-14:17:48:087983679 $GNGGA,034317.00,,,,,0,04,9.60,,,,,,*41
20181726-14:17:48:093472898 $GNGSA,A,1,02,13,05,,,,,,,,,,12.59,9.60,8.14*26
20181726-14:17:48:099127534 $GNGSA,A,1,70,,,,,,,,,,,,12.59,9.60,8.14*24
20181726-14:17:48:191328523 $GPGSV,2,1,08,02,43,117,33,05,78,111,32,06,,,27,12,,,32*7B
20181726-14:17:48:295563888 $GPGSV,2,2,08,13,17,036,36,20,,,25,25,,,25,29,,,40*4F
20181726-14:17:48:300472117 $GLGSV,2,1,06,70,69,048,33,,,,40,,,,26,,,,32*55
20181726-14:17:48:305216752 $GLGSV,2,2,06,,,,40,,,,26*63
20181726-14:17:48:559017117 $GNGLL,,,,,034317.00,V,N*56
20181726-14:17:48:563703783 $GNZDA,034317.00,26,01,2018,00,00*74
20181726-14:17:48:981944460 $GNRMC,034318.00,V,,,,,,,260118,,,N*62
20181726-14:17:48:986954356 $GNVTG,,,,,,,,,N*2E
20181726-14:17:49:089205867 $GNGGA,034318.00,,,,,0,04,9.60,,,,,,*4E
20181726-14:17:49:095214148 $GNGSA,A,1,02,13,05,,,,,,,,,,12.59,9.60,8.15*27
20181726-14:17:49:100604512 $GNGSA,A,1,70,,,,,,,,,,,,12.59,9.60,8.15*25
20181726-14:17:49:189842064 $GPGSV,2,1,08,02,43,117,33,05,78,111,31,06,,,27,12,,,34*7E
20181726-14:17:49:293780971 $GPGSV,2,2,08,13,17,036,29,20,,,34,25,,,23,29,,,33*43
20181726-14:17:49:298787169 $GLGSV,2,1,06,70,69,048,33,,,,40,,,,38,,,,31*59
20181726-14:17:49:303600033 $GLGSV,2,2,06,,,,40,,,,38*6C
20181726-14:17:49:558970033 $GNGLL,,,,,034318.00,V,N*59
20181726-14:17:49:563655033 $GNZDA,034318.00,26,01,2018,00,00*7B
20181726-14:17:49:994076908 $GNRMC,034319.00,V,,,,,,,260118,,,N*63
20181726-14:17:49:999096335 $GNVTG,,,,,,,,,N*2E
20181726-14:17:50:098848627 $GNGGA,034319.00,,,,,0,05,2.71,,,,,,*45
