20181930-20:19:09:238340043 $GNRMC,024549.00,V,,,,,,,310118,,,N*67
20181930-20:19:09:243284575 $GNVTG,,,,,,,,,N*2E
20181930-20:19:09:343346137 $GNGGA,024549.00,,,,,0,00,99.99,,,,,,*76
20181930-20:19:09:348322075 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:352965564 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:09:447674054 $GPGSV,2,1,07,02,,,35,05,,,39,06,,,37,07,,,07*74
20181930-20:19:09:452499575 $GPGSV,2,2,07,12,,,40,19,,,34,29,,,28*77
20181930-20:19:09:751359470 $GLGSV,1,1,04,,,,42,,,,46,,,,42,,,,36*66
20181930-20:19:09:755947543 $GNGLL,,,,,024549.00,V,N*5A
20181930-20:19:09:760732908 $GNZDA,024549.00,31,01,2018,00,00*7E
20181930-20:19:10:230266345 $GNRMC,024550.00,V,,,,,,,310118,,,N*6F
20181930-20:19:10:235052595 $GNVTG,,,,,,,,,N*2E
20181930-20:19:10:334010303 $GNGGA,024550.00,,,,,0,00,99.99,,,,,,*7E
20181930-20:19:10:338973845 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:343804731 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:10:438402960 $GPGSV,2,1,07,02,,,35,05,,,37,06,,,37,07,,,06*7B
20181930-20:19:10:443203637 $GPGSV,2,2,07,12,,,38,19,,,35,29,,,27*76
20181930-20:19:10:542310512 $GLGSV,1,1,04,,,,41,,,,45,,,,42,,,,36*66
20181930-20:19:10:546945876 $GNGLL,,,,,024550.00,V,N*52
20181930-20:19:10:551673428 $GNZDA,024550.00,31,01,2018,00,00*76
20181930-20:19:10:812359887 $GNTXT,01,01,01,More than 100 frame errors, UART RX was disabled*70
20181930-20:19:11:234153116 $GNRMC,024551.00,V,,,,,,,310118,,,N*6E
20181930-20:19:11:239173741 $GNVTG,,,,,,,,,N*2E
20181930-20:19:11:338194366 $GNGGA,024551.00,,,,,0,00,99.99,,,,,,*7F
20181930-20:19:11:343013845 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:347913793 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
20181930-20:19:11:442307907 $GPGSV,2,1,07,02,,,32,05,,,38,06,,,37,07,,,07*72
20181930-20:19:11:446917334 $GPGSV,2,2,07,12,,,40,19,,,35,29,,,28*76
20181930-20:19:11:741485095 $GLGSV,1,1,04,,,,42,,,,46,,,,42,,,,38*68
20181930-20:19:11:746121918 $GNGLL,,,,,024551.00,V,N*53
20181930-20:19:11:750829001 $GNZDA,024551.00,31,01,2018,00,00*77
20181930-20:19:12:233658115 $GNRMC,024552.00,V,,,,,,,310118,,,N*6D
20181930-20:19:12:238431397 $GNVTG,,,,,,,,,N*2E
20181930-20:19:12:337747021 $GNGGA,024552.00,,,,,0,00,99.99,,,,,,*7C
20181930-20:19:12:342463011 $GNGSA,A,1,,,,,,,,,,,,,99.99,99.99,99.99*2E
